Timestamp,Gaz naturel
2026-03-01 08:30:32,76798.369
2026-02-01 09:05:19,76608.3
2026-01-01 10:29:04,76326.417
2025-12-01 17:22:42,76084.419
2025-11-01 08:40:43,75921.92
2025-10-01 09:03:07,75854.359
2025-08-31 12:21:36,75818.468
2025-08-01 16:12:44,75784.342
2025-07-01 16:13:13,75749.684
2025-06-05 15:20:42,75716.558
2025-06-01 13:11:11,75712.244
2025-05-01 10:06:44,75670.466
2025-04-01 07:26:02,75619.598
2025-03-01 08:48:36,75448.09
2025-02-01 10:41:20,75194.17
2025-01-01 01:08:10,74880.531
2024-12-01 08:42:10,74621.54
2024-11-16 10:46:56,74509.171
2024-11-01 08:40:43,74437.073
2024-10-14 15:35:02,74401.442
2024-10-06 18:25:26,74390.755
2024-10-01 07:32:43,74380.346
2024-09-01 09:41:32,74350.347
2024-08-01 07:16:50,74322.768
2024-07-04 17:01:01,74297.17
2024-07-01 07:33:04,74294.266
2024-06-01 10:27:11,74260.742
2024-05-01 07:23:26,74233.805
2024-04-29 07:45:25,74231.819
2024-04-28 21:09:27,74231.455
2024-04-13 09:17:34,74190.015
2024-04-01 10:00:09,74172.287
2024-03-15 14:49:33,74118.515
2024-03-01 06:31:10,74054.524
2024-02-20 18:57:04,73997.459
2024-02-03 15:46:18,73907.248
2024-02-01 16:59:29,73894.83
2024-01-12 16:32:15,73720.342
2024-01-08 18:05:49,73669.082
2024-01-05 20:55:08,73642.514
2024-01-01 09:48:07,73613.327
2023-12-18 17:57:19,73530.631
2023-12-02 09:12:47,73416.821
2023-12-01 06:04:09,73403.295
2023-11-19 10:51:59,73330.073
2023-11-10 17:57:56,73289.475
2023-11-08 19:36:23,73283.234
2023-11-05 09:10:17,73270.674
2023-11-01 06:43:21,73260.57
2023-10-01 08:04:39,73217.36
2023-09-01 13:42:40,73188.907
2023-08-01 17:27:59,73150.699
2023-07-06 17:17:09,73117.167
2023-07-03 20:11:18,73114.139
2023-07-01 05:30:41,73108.334
2023-06-01 16:53:47,73072.79
2023-05-10 15:16:51,73043.033
2023-04-18 15:01:57,73005.75
2023-04-01 06:53:16,72951.153
2023-03-01 16:06:49,72803.075
2023-02-09 20:50:10,72700.772
2023-02-01 16:31:06,72648.44
2023-01-19 11:33:28,72531.356
2023-01-13 16:05:21,72496.073
2023-01-07 21:53:19,72474.283
2023-01-01 18:24:46,72449.259
2022-12-30 06:50:00,72448.775
2022-12-22 21:36:00,72420.048
2022-12-14 21:42:14,72351.097
2022-12-12 17:34:00,72322.634
2022-12-07 07:07:00,72265.689
2022-12-05 21:53:59,72254.664
2022-12-02 08:32:00,72223.333
2022-11-01 10:16:42,72049.653
2022-10-13 09:11:25,72015.267
2022-10-01 16:34:09,71995.275
2022-09-02 18:39:24,71956.083
2022-08-02 17:19:53,71926.529
2022-06-30 20:53:51,71916.904
2022-06-01 18:46:11,71904.103
